order_id,execution_date,execution_sequence,signal_date,symbol,side,reference_open_price_exact,fill_price_exact,gross_notional_exact,price_impact_cost_exact,commission_exact,total_fee_exact,cash_delta_exact,cash_before_exact,cash_after_exact,reference_open_price,fill_price,shares_filled,gross_notional,price_impact_cost,commission,total_fee,cash_delta,cash_before,cash_after,shares_before,shares_after,risk_state,target_exposure,scenario
1,2023-11-30,1,2023-11-29,002142,BUY,23.08,24.80329545,99213.18180000,6893.18180000,74.4098863500000,74.4098863500000,-99287.5916863500000,500000.0,400712.40831365,23.08,24.8033,4000,99213.1818,6893.1818,74.409886,74.409886,-99287.59,500000.0,400712.41,0,4000,False,0.6,c0.00075_s0.0005
2,2023-11-30,2,2023-11-29,002594,BUY,201.6,619.8413658,61984.1365800,41824.1365800,46.488102435000,46.488102435000,-62030.624682435000,400712.40831365,338681.783631215,201.6,619.8414,100,61984.1366,41824.1366,46.488102,46.488102,-62030.62,400712.41,338681.78,0,100,False,0.6,c0.00075_s0.0005
3,2023-11-30,3,2023-11-29,300351,BUY,23.0,23.2810347,18624.8277600,224.8277600,13.968620820000,13.968620820000,-18638.796380820000,338681.783631215,320042.987250395,23.0,23.281,800,18624.8278,224.8278,13.968621,13.968621,-18638.8,338681.78,320042.99,0,800,False,0.6,c0.00075_s0.0005
4,2023-11-30,4,2023-11-29,688041,BUY,71.79,72.07732065,28830.92826000,114.92826000,21.6231961950000,21.6231961950000,-28852.5514561950000,320042.987250395,291190.4357942,71.79,72.0773,400,28830.9283,114.9283,21.623196,21.623196,-28852.55,320042.99,291190.44,0,400,False,0.6,c0.00075_s0.0005
5,2023-11-30,5,2023-11-29,688271,BUY,138.19,138.9220263,69461.0131500,366.0131500,52.095759862500,52.095759862500,-69513.108909862500,291190.4357942,221677.3268843375,138.19,138.922,500,69461.0131,366.0131,52.09576,52.09576,-69513.11,291190.44,221677.33,0,500,False,0.6,c0.00075_s0.0005
6,2023-12-14,1,2023-12-13,002142,SELL,20.58,22.0945472,88378.1888000,6058.1888000,66.283641600000,66.283641600000,88311.905158400000,221677.3268843375,309989.2320427375,20.58,22.0945,4000,88378.1888,6058.1888,66.283642,66.283642,88311.91,221677.33,309989.23,4000,0,True,0.4,c0.00075_s0.0005
7,2023-12-14,2,2023-12-13,002594,SELL,193.0,592.80654845,59280.65484500,39980.65484500,44.4604911337500,44.4604911337500,59236.1943538662500,309989.2320427375,369225.42639660375,193.0,592.8065,100,59280.6548,39980.6548,44.460491,44.460491,59236.19,309989.23,369225.43,100,0,True,0.4,c0.00075_s0.0005
8,2023-12-14,3,2023-12-13,300351,SELL,20.48,20.70954005,16567.63204000,183.63204000,12.4257240300000,12.4257240300000,16555.2063159700000,369225.42639660375,385780.63271257374,20.48,20.7095,800,16567.632,183.632,12.425724,12.425724,16555.21,369225.43,385780.63,800,0,True,0.4,c0.00075_s0.0005
9,2023-12-14,4,2023-12-13,688041,SELL,78.13,78.36429825,31345.71930000,93.71930000,23.5092894750000,23.5092894750000,31322.2100105250000,385780.63271257374,417102.84272309876,78.13,78.3643,400,31345.7193,93.7193,23.509289,23.509289,31322.21,385780.63,417102.84,400,0,True,0.4,c0.00075_s0.0005
10,2023-12-14,5,2023-12-13,688271,SELL,140.95,141.55508705,70777.54352500,302.54352500,53.0831576437500,53.0831576437500,70724.4603673562500,417102.84272309876,487827.303090455,140.95,141.5551,500,70777.5435,302.5435,53.083158,53.083158,70724.46,417102.84,487827.3,500,0,True,0.4,c0.00075_s0.0005
11,2023-12-14,6,2023-12-13,000568,BUY,176.0,195.43236735,19543.23673500,1943.23673500,14.6574275512500,14.6574275512500,-19557.8941625512500,487827.303090455,468269.40892790374,176.0,195.4324,100,19543.2367,1943.2367,14.657428,14.657428,-19557.89,487827.3,468269.41,0,100,True,0.4,c0.00075_s0.0005
12,2023-12-14,7,2023-12-13,002558,BUY,14.45,15.069631049999998,18083.557259999997600,743.557259999997600,13.56266794499999820000,13.56266794499999820000,-18097.11992794499759820000,468269.40892790374,450172.2889999587,14.45,15.0696,1200,18083.5573,743.5573,13.562668,13.562668,-18097.12,468269.41,450172.29,0,1200,True,0.4,c0.00075_s0.0005
13,2023-12-14,8,2023-12-13,600938,BUY,19.45,21.294742049999996,36201.061484999993200,3136.061484999993200,27.15079611374999490000,27.15079611374999490000,-36228.21228111374319490000,450172.2889999587,413944.076718845,19.45,21.2947,1700,36201.0615,3136.0615,27.150796,27.150796,-36228.21,450172.29,413944.08,0,1700,True,0.4,c0.00075_s0.0005
14,2023-12-14,9,2023-12-13,601398,BUY,4.79,5.47523625,64607.78775000,8085.78775000,48.4558408125000,48.4558408125000,-64656.2435908125000,413944.076718845,349287.8331280325,4.79,5.4752,11800,64607.7878,8085.7878,48.455841,48.455841,-64656.24,413944.08,349287.83,0,11800,True,0.4,c0.00075_s0.0005
15,2023-12-19,1,2023-12-18,300750,BUY,146.31,156.62677424999998,46988.03227499999400,3095.03227499999400,35.2410242062499955000,35.2410242062499955000,-47023.2732992062439955000,349287.8331280325,302264.5598288263,146.31,156.6268,300,46988.0323,3095.0323,35.241024,35.241024,-47023.27,349287.83,302264.56,0,300,True,0.4,c0.00075_s0.0005
16,2023-12-28,1,2023-12-27,000568,SELL,171.0,189.6905073,18969.0507300,1869.0507300,14.226788047500,14.226788047500,18954.823941952500,302264.5598288263,321219.3837707788,171.0,189.6905,100,18969.0507,1869.0507,14.226788,14.226788,18954.82,302264.56,321219.38,100,0,True,0.4,c0.00075_s0.0005
17,2023-12-28,2,2023-12-27,002558,SELL,10.82,11.272660850000001,13527.193020000001200,543.193020000001200,10.14539476500000090000,10.14539476500000090000,13517.04762523500119910000,321219.3837707788,334736.43139601377,10.82,11.2727,1200,13527.193,543.193,10.145395,10.145395,13517.05,321219.38,334736.43,1200,0,True,0.4,c0.00075_s0.0005
18,2023-12-28,3,2023-12-27,601398,SELL,4.83,5.515440900000001,65082.202620000011800,8088.202620000011800,48.81165196500000885000,48.81165196500000885000,65033.39096803501179115000,334736.43139601377,399769.8223640488,4.83,5.5154,11800,65082.2026,8088.2026,48.811652,48.811652,65033.39,334736.43,399769.82,11800,0,True,0.4,c0.00075_s0.0005
19,2023-12-28,4,2023-12-27,002786,BUY,17.71,17.718855,12403.198500,6.198500,9.30239887500,9.30239887500,-12412.50089887500,399769.8223640488,387357.3214651738,17.71,17.7189,700,12403.1985,6.1985,9.302399,9.302399,-12412.5,399769.82,387357.32,0,700,True,0.4,c0.00075_s0.0005
20,2023-12-28,5,2023-12-27,002855,BUY,38.6,38.6193,15447.7200,7.7200,11.585790000,11.585790000,-15459.305790000,387357.3214651738,371898.0156751738,38.6,38.6193,400,15447.72,7.72,11.58579,11.58579,-15459.31,387357.32,371898.02,0,400,True,0.4,c0.00075_s0.0005
21,2023-12-28,6,2023-12-27,300735,BUY,22.45,23.20169505,48723.55960500,1578.55960500,36.5426697037500,36.5426697037500,-48760.1022747037500,371898.0156751738,323137.91340047005,22.45,23.2017,2100,48723.5596,1578.5596,36.54267,36.54267,-48760.1,371898.02,323137.91,0,2100,True,0.4,c0.00075_s0.0005
22,2023-12-28,7,2023-12-27,600938,BUY,20.55,22.499143949999997,26998.972739999996400,2338.972739999996400,20.24922955499999730000,20.24922955499999730000,-27019.22196955499639730000,323137.91340047005,296118.69143091503,20.55,22.4991,1200,26998.9727,2338.9727,20.24923,20.24923,-27019.22,323137.91,296118.69,1700,2900,True,0.4,c0.00075_s0.0005
23,2023-12-29,1,2023-12-28,600938,SELL,20.5,22.42188345,65023.46200500,5573.46200500,48.7675965037500,48.7675965037500,64974.6944084962500,296118.69143091503,361093.3858394113,20.5,22.4219,2900,65023.462,5573.462,48.767597,48.767597,64974.69,296118.69,361093.39,2900,0,True,0.4,c0.00075_s0.0005
24,2023-12-29,2,2023-12-28,600941,BUY,97.26,108.5298378,65117.9026800,6761.9026800,48.838427010000,48.838427010000,-65166.741107010000,361093.3858394113,295926.6447324013,97.26,108.5298,600,65117.9027,6761.9027,48.838427,48.838427,-65166.74,361093.39,295926.64,0,600,True,0.4,c0.00075_s0.0005
25,2024-01-03,1,2024-01-02,300750,SELL,156.1,166.9400882,50082.0264600,3252.0264600,37.561519845000,37.561519845000,50044.464940155000,295926.6447324013,345971.1096725563,156.1,166.9401,300,50082.0265,3252.0265,37.56152,37.56152,50044.46,295926.64,345971.11,300,0,True,0.4,c0.00075_s0.0005
26,2024-01-03,2,2024-01-02,002241,BUY,20.75,21.42520725,53563.01812500,1688.01812500,40.1722635937500,40.1722635937500,-53603.1903885937500,345971.1096725563,292367.9192839625,20.75,21.4252,2500,53563.0181,1688.0181,40.172264,40.172264,-53603.19,345971.11,292367.92,0,2500,True,0.4,c0.00075_s0.0005
27,2024-01-12,1,2024-01-11,002786,SELL,16.3,16.29185,11404.29500,5.70500,8.5532212500,8.5532212500,11395.7417787500,292367.9192839625,303763.6610627125,16.3,16.2919,700,11404.295,5.705,8.553221,8.553221,11395.74,292367.92,303763.66,700,0,True,0.4,c0.00075_s0.0005
28,2024-01-12,2,2024-01-11,002855,SELL,33.85,33.833075,13533.230000,6.770000,10.14992250000,10.14992250000,13523.08007750000,303763.6610627125,317286.7411402125,33.85,33.8331,400,13533.23,6.77,10.149923,10.149923,13523.08,303763.66,317286.74,400,0,True,0.4,c0.00075_s0.0005
29,2024-01-12,3,2024-01-11,300735,SELL,20.17,20.824482550000003,43731.413355000006300,1374.413355000006300,32.79856001625000472500,32.79856001625000472500,43698.61479498375629527500,317286.7411402125,360985.3559351963,20.17,20.8245,2100,43731.4134,1374.4134,32.79856,32.79856,43698.61,317286.74,360985.36,2100,0,True,0.4,c0.00075_s0.0005
30,2024-01-12,4,2024-01-11,002415,BUY,30.73,33.5081457,16754.0728500,1389.0728500,12.565554637500,12.565554637500,-16766.638404637500,360985.3559351963,344218.71753055876,30.73,33.5081,500,16754.0729,1389.0729,12.565555,12.565555,-16766.64,360985.36,344218.72,0,500,True,0.4,c0.00075_s0.0005
31,2024-01-12,5,2024-01-11,601398,BUY,4.77,5.45242485,34350.27655500,4299.27655500,25.7627074162500,25.7627074162500,-34376.0392624162500,344218.71753055876,309842.6782681425,4.77,5.4524,6300,34350.2766,4299.2766,25.762707,25.762707,-34376.04,344218.72,309842.68,0,6300,True,0.4,c0.00075_s0.0005
32,2024-01-12,6,2024-01-11,601857,BUY,7.26,8.068132049999999,25011.209354999996900,2505.209354999996900,18.75840701624999767500,18.75840701624999767500,-25029.96776201624689767500,309842.6782681425,284812.7105061263,7.26,8.0681,3100,25011.2094,2505.2094,18.758407,18.758407,-25029.97,309842.68,284812.71,0,3100,True,0.4,c0.00075_s0.0005
33,2024-01-15,1,2024-01-12,600941,SELL,95.19,106.11381655000001,63668.28993000000600,6554.28993000000600,47.7512174475000045000,47.7512174475000045000,63620.5387125525059955000,284812.7105061263,348433.2492186788,95.19,106.1138,600,63668.2899,6554.2899,47.751217,47.751217,63620.54,284812.71,348433.25,600,0,True,0.4,c0.00075_s0.0005
34,2024-01-15,2,2024-01-12,000158,BUY,9.23,9.254624999999999,64782.374999999993000,172.374999999993000,48.58678124999999475000,48.58678124999999475000,-64830.96178124999299475000,348433.2492186788,283602.28743742884,9.23,9.2546,7000,64782.375,172.375,48.586781,48.586781,-64830.96,348433.25,283602.29,0,7000,True,0.4,c0.00075_s0.0005
35,2024-01-17,1,2024-01-16,002241,SELL,18.89,19.485152550000002,48712.881375000005000,1487.881375000005000,36.53466103125000375000,36.53466103125000375000,48676.34671396875499625000,283602.28743742884,332278.6341513976,18.89,19.4852,2500,48712.8814,1487.8814,36.534661,36.534661,48676.35,283602.29,332278.63,2500,0,True,0.4,c0.00075_s0.0005
36,2024-01-17,2,2024-01-16,000338,BUY,14.92,16.3795857,47500.7985300,4232.7985300,35.625598897500,35.625598897500,-47536.424128897500,332278.6341513976,284742.21002250013,14.92,16.3796,2900,47500.7985,4232.7985,35.625599,35.625599,-47536.42,332278.63,284742.21,0,2900,True,0.4,c0.00075_s0.0005
37,2024-01-26,1,2024-01-25,002415,SELL,32.08,34.94521865,17472.60932500,1432.60932500,13.1044569937500,13.1044569937500,17459.5048680062500,284742.21002250013,302201.7148905064,32.08,34.9452,500,17472.6093,1432.6093,13.104457,13.104457,17459.5,284742.21,302201.71,500,0,True,0.4,c0.00075_s0.0005
38,2024-01-26,2,2024-01-25,601398,SELL,5.01,5.721038050000001,36042.539715000006300,4479.539715000006300,27.03190478625000472500,27.03190478625000472500,36015.50781021375629527500,302201.7148905064,338217.2227007202,5.01,5.721,6300,36042.5397,4479.5397,27.031905,27.031905,36015.51,302201.71,338217.22,6300,0,True,0.4,c0.00075_s0.0005
39,2024-01-26,3,2024-01-25,601857,SELL,8.05,8.9371292,27705.1005200,2750.1005200,20.778825390000,20.778825390000,27684.321694610000,338217.2227007202,365901.5443953302,8.05,8.9371,3100,27705.1005,2750.1005,20.778825,20.778825,27684.32,338217.22,365901.54,3100,0,True,0.4,c0.00075_s0.0005
40,2024-01-26,4,2024-01-25,300059,BUY,13.25,13.405199249999999,24129.358649999998200,279.358649999998200,18.09701898749999865000,18.09701898749999865000,-24147.45566898749819865000,365901.5443953302,341754.0887263427,13.25,13.4052,1800,24129.3586,279.3586,18.097019,18.097019,-24147.46,365901.54,341754.09,0,1800,True,0.4,c0.00075_s0.0005
41,2024-01-26,5,2024-01-25,600030,BUY,20.4,21.849419249999997,32774.128874999995500,2174.128874999995500,24.58059665624999662500,24.58059665624999662500,-32798.70947165624549662500,341754.0887263427,308955.3792546865,20.4,21.8494,1500,32774.1289,2174.1289,24.580597,24.580597,-32798.71,341754.09,308955.38,0,1500,True,0.4,c0.00075_s0.0005
42,2024-01-26,6,2024-01-25,601099,BUY,3.45,3.451725,20020.005000,10.005000,15.01500375000,15.01500375000,-20035.02000375000,308955.3792546865,288920.3592509365,3.45,3.4517,5800,20020.005,10.005,15.015004,15.015004,-20035.02,308955.38,288920.36,0,5800,True,0.4,c0.00075_s0.0005
43,2024-01-29,1,2024-01-26,000158,SELL,9.09,9.10514515,63736.01605000,106.01605000,47.8020120375000,47.8020120375000,63688.2140379625000,288920.3592509365,352608.573288899,9.09,9.1051,7000,63736.016,106.0161,47.802012,47.802012,63688.21,288920.36,352608.57,7000,0,True,0.4,c0.00075_s0.0005
44,2024-01-29,2,2024-01-26,000002,BUY,10.41,10.415205,65615.791500,32.791500,49.21184362500,49.21184362500,-65665.00334362500,352608.573288899,286943.569945274,10.41,10.4152,6300,65615.7915,32.7915,49.211844,49.211844,-65665.0,352608.57,286943.57,0,6300,True,0.4,c0.00075_s0.0005
45,2024-01-31,1,2024-01-30,000338,SELL,14.91,16.3522198,47421.4374200,4182.4374200,35.566078065000,35.566078065000,47385.871341935000,286943.569945274,334329.441287209,14.91,16.3522,2900,47421.4374,4182.4374,35.566078,35.566078,47385.87,286943.57,334329.44,2900,0,True,0.4,c0.00075_s0.0005
46,2024-01-31,2,2024-01-30,601857,BUY,8.34,9.26833185,51902.65836000,5198.65836000,38.9269937700000,38.9269937700000,-51941.5853537700000,334329.441287209,282387.855933439,8.34,9.2683,5600,51902.6584,5198.6584,38.926994,38.926994,-51941.59,334329.44,282387.86,0,5600,True,0.4,c0.00075_s0.0005
47,2024-02-19,1,2024-02-08,300059,SELL,13.35,13.4928502,24287.1303600,257.1303600,18.215347770000,18.215347770000,24268.915012230000,282387.855933439,306656.770945669,13.35,13.4929,1800,24287.1304,257.1304,18.215348,18.215348,24268.92,282387.86,306656.77,1800,0,True,0.4,c0.00075_s0.0005
48,2024-02-19,2,2024-02-08,600030,SELL,21.12,22.597895400000002,33896.843100000003000,2216.843100000003000,25.42263232500000225000,25.42263232500000225000,33871.42046767500299775000,306656.770945669,340528.191413344,21.12,22.5979,1500,33896.8431,2216.8431,25.422632,25.422632,33871.42,306656.77,340528.19,1500,0,True,0.4,c0.00075_s0.0005
49,2024-02-19,3,2024-02-08,601099,SELL,3.29,3.288355,19072.459000,9.541000,14.30434425000,14.30434425000,19058.15465575000,340528.191413344,359586.346069094,3.29,3.2884,5800,19072.459,9.541,14.304344,14.304344,19058.15,340528.19,359586.35,5800,0,True,0.4,c0.00075_s0.0005
50,2024-02-19,4,2024-02-08,000895,BUY,28.34,32.4958398,42244.5917400,5402.5917400,31.683443805000,31.683443805000,-42276.275183805000,359586.346069094,317310.070885289,28.34,32.4958,1300,42244.5917,5402.5917,31.683444,31.683444,-42276.28,359586.35,317310.07,0,1300,True,0.4,c0.00075_s0.0005
51,2024-02-19,5,2024-02-08,002340,BUY,5.18,5.307252299999999,13798.855979999997400,330.855979999997400,10.34914198499999805000,10.34914198499999805000,-13809.20512198499739805000,317310.070885289,303500.865763304,5.18,5.3073,2600,13798.856,330.856,10.349142,10.349142,-13809.21,317310.07,303500.87,0,2600,True,0.4,c0.00075_s0.0005
52,2024-02-19,6,2024-02-08,600111,BUY,18.34,18.4980444,14798.4355200,126.4355200,11.098826640000,11.098826640000,-14809.534346640000,303500.865763304,288691.331416664,18.34,18.498,800,14798.4355,126.4355,11.098827,11.098827,-14809.53,303500.87,288691.33,0,800,True,0.4,c0.00075_s0.0005
53,2024-02-20,1,2024-02-19,000002,SELL,9.9,9.895050000000001,62338.815000000006300,31.184999999993700,46.75411125000000472500,46.75411125000000472500,62292.06088875000629527500,288691.33141666406,350983.3923054141,9.9,9.8951,6300,62338.815,31.185,46.754111,46.754111,62292.06,288691.33,350983.39,6300,0,True,0.4,c0.00075_s0.0005
54,2024-02-20,2,2024-02-19,002463,BUY,26.39,27.378082199999998,62969.589059999995400,2272.589059999995400,47.22719179499999655000,47.22719179499999655000,-63016.81625179499539655000,350983.3923054141,287966.5760536191,26.39,27.3781,2300,62969.5891,2272.5891,47.227192,47.227192,-63016.82,350983.39,287966.58,0,2300,True,0.4,c0.00075_s0.0005
55,2024-02-22,1,2024-02-21,601857,SELL,8.63,9.5810071,53653.6397600,5325.6397600,40.240229820000,40.240229820000,53613.399530180000,287966.5760536191,341579.97558379907,8.63,9.581,5600,53653.6398,5325.6398,40.24023,40.24023,53613.4,287966.58,341579.98,5600,0,True,0.4,c0.00075_s0.0005
56,2024-02-22,2,2024-02-21,600839,BUY,4.75,4.8220098,56899.7156400,849.7156400,42.674786730000,42.674786730000,-56942.390426730000,341579.97558379907,284637.5851570691,4.75,4.822,11800,56899.7156,849.7156,42.674787,42.674787,-56942.39,341579.98,284637.59,0,11800,True,0.4,c0.00075_s0.0005
57,2024-03-04,1,2024-03-01,000895,SELL,29.01,33.23087625,43200.13912500,5487.13912500,32.4001043437500,32.4001043437500,43167.7390206562500,284637.5851570691,327805.32417772536,29.01,33.2309,1300,43200.1391,5487.1391,32.400104,32.400104,43167.74,284637.59,327805.32,1300,0,True,0.4,c0.00075_s0.0005
58,2024-03-04,2,2024-03-01,002340,SELL,5.42,5.5476248,14423.8244800,331.8244800,10.817868360000,10.817868360000,14413.006611640000,327805.32417772536,342218.33078936534,5.42,5.5476,2600,14423.8245,331.8245,10.817868,10.817868,14413.01,327805.32,342218.33,2600,0,True,0.4,c0.00075_s0.0005
59,2024-03-04,3,2024-03-01,600111,SELL,19.1,19.24527255,15396.21804000,116.21804000,11.5471635300000,11.5471635300000,15384.6708764700000,342218.33078936534,357603.0016658353,19.1,19.2453,800,15396.218,116.218,11.547164,11.547164,15384.67,342218.33,357603.0,800,0,True,0.4,c0.00075_s0.0005
60,2024-03-04,4,2024-03-01,002281,BUY,34.45,34.889135849999995,20933.481509999997000,263.481509999997000,15.70011113249999775000,15.70011113249999775000,-20949.18162113249699775000,357603.0016658353,336653.82004470285,34.45,34.8891,600,20933.4815,263.4815,15.700111,15.700111,-20949.18,357603.0,336653.82,0,600,True,0.4,c0.00075_s0.0005
