order_id,execution_date,execution_sequence,signal_date,symbol,side,reference_open_price,fill_price,shares_filled,gross_notional,price_impact_cost,commission,stamp_tax,transfer_fee,total_fee,cash_delta,cash_before,cash_after,shares_before,shares_after,market_value_before,market_value_after,equity_before,equity_after,risk_state,target_exposure,scenario
1,2023-11-30,1,2023-11-29,002142,BUY,23.08,24.7909,4000,99163.6000,6843.6000,74.372700,0,0,74.372700,-99237.972700,500000.0,400762.0273,0,4000,0,92320.00,500000.0,493082.0273,False,0.6000,c0.00075_s0.0
2,2023-11-30,2,2023-11-29,002594,BUY,201.6,619.5316,100,61953.1600,41793.1600,46.464870,0,0,46.464870,-61999.624870,400762.0273,338762.40243,0,100,92320.00,112480.00,493082.0273,451242.40243,False,0.6000,c0.00075_s0.0
3,2023-11-30,3,2023-11-29,300351,BUY,23.0,23.2694,800,18615.5200,215.5200,13.961640,0,0,13.961640,-18629.481640,338762.40243,320132.92079,0,800,112480.00,130880.00,451242.40243,451012.92079,False,0.6000,c0.00075_s0.0
4,2023-11-30,4,2023-11-29,688041,BUY,71.79,72.0413,400,28816.5200,100.5200,21.612390,0,0,21.612390,-28838.132390,320132.92079,291294.7884,0,400,130880.00,159596.00,451012.92079,450890.7884,False,0.6000,c0.00075_s0.0
5,2023-11-30,5,2023-11-29,688271,BUY,138.19,138.8526,500,69426.3000,331.3000,52.069725,0,0,52.069725,-69478.369725,291294.7884,221816.41867500002,0,500,159596.00,228691.00,450890.7884,450507.41867500002,False,0.6000,c0.00075_s0.0
6,2023-12-14,1,2023-12-13,002142,SELL,20.58,22.1056,4000,88422.4000,6102.4000,66.316800,0,0,66.316800,88356.083200,221816.41867499996,310172.50187499996,4000,0,219731.00,137411.00,441547.41867499996,447583.50187499996,True,0.4000,c0.00075_s0.0
7,2023-12-14,2,2023-12-13,002594,SELL,193.0,593.1031,100,59310.3100,40010.3100,44.482733,0,0,44.482733,59265.827267,310172.50187499996,369438.32914199994,100,0,137411.00,118111.00,447583.50187499996,487549.32914199994,True,0.4000,c0.00075_s0.0
8,2023-12-14,3,2023-12-13,300351,SELL,20.48,20.7199,800,16575.9200,191.9200,12.431940,0,0,12.431940,16563.488060,369438.32914199994,386001.81720199995,800,0,118111.00,101727.00,487549.32914199994,487728.81720199995,True,0.4000,c0.00075_s0.0
9,2023-12-14,4,2023-12-13,688041,SELL,78.13,78.4035,400,31361.4000,109.4000,23.521050,0,0,23.521050,31337.878950,386001.81720199995,417339.69615199993,400,0,101727.00,70475.00,487728.81720199995,487814.69615199993,True,0.4000,c0.00075_s0.0
10,2023-12-14,5,2023-12-13,688271,SELL,140.95,141.6259,500,70812.9500,337.9500,53.109713,0,0,53.109713,70759.840287,417339.69615199993,488099.53643899993,500,0,70475.00,0,487814.69615199993,488099.53643899993,True,0.4000,c0.00075_s0.0
11,2023-12-14,6,2023-12-13,000568,BUY,176.0,195.3347,100,19533.4700,1933.4700,14.650103,0,0,14.650103,-19548.120103,488099.53643899993,468551.4163359999,0,100,0,17600.0,488099.53643899993,486151.4163359999,True,0.4000,c0.00075_s0.0
12,2023-12-14,7,2023-12-13,002558,BUY,14.45,15.0621,1200,18074.5200,734.5200,13.555890,0,0,13.555890,-18088.075890,468551.4163359999,450463.34044599993,0,1200,17600.0,34940.00,486151.4163359999,485403.34044599993,True,0.4000,c0.00075_s0.0
13,2023-12-14,8,2023-12-13,600938,BUY,19.45,21.2841,1700,36182.9700,3117.9700,27.137228,0,0,27.137228,-36210.107228,450463.34044599993,414253.2332179999,0,1700,34940.00,68005.00,485403.34044599993,482258.2332179999,True,0.4000,c0.00075_s0.0
14,2023-12-14,9,2023-12-13,601398,BUY,4.79,5.4725,11800,64575.5000,8053.5000,48.431625,0,0,48.431625,-64623.931625,414253.2332179999,349629.30159299995,0,11800,68005.00,124527.00,482258.2332179999,474156.30159299995,True,0.4000,c0.00075_s0.0
15,2023-12-19,1,2023-12-18,300750,BUY,146.31,156.5485,300,46964.5500,3071.5500,35.223413,0,0,35.223413,-46999.773413,349629.30159499997,302629.528182,0,300,123308.00,167201.00,472937.30159499997,469830.528182,True,0.4000,c0.00075_s0.0
16,2023-12-28,1,2023-12-27,000568,SELL,171.0,189.7854,100,18978.5400,1878.5400,14.233905,0,0,14.233905,18964.306095,302629.5281825,321593.8342775,100,0,168279.00,151179.00,470908.5281825,472772.8342775,True,0.4000,c0.00075_s0.0
17,2023-12-28,2,2023-12-27,002558,SELL,10.82,11.2783,1200,13533.9600,549.9600,10.150470,0,0,10.150470,13523.809530,321593.8342775,335117.6438075,1200,0,151179.00,138195.00,472772.8342775,473312.6438075,True,0.4000,c0.00075_s0.0
18,2023-12-28,3,2023-12-27,601398,SELL,4.83,5.5182,11800,65114.7600,8120.7600,48.836070,0,0,48.836070,65065.923930,335117.6438075,400183.5677375,11800,0,138195.00,81201.00,473312.6438075,481384.5677375,True,0.4000,c0.00075_s0.0
19,2023-12-28,4,2023-12-27,002786,BUY,17.71,17.71,700,12397.00,0.00,9.297750,0,0,9.297750,-12406.297750,400183.5677375,387777.2699875,0,700,81201.00,93598.00,481384.5677375,481375.2699875,True,0.4000,c0.00075_s0.0
20,2023-12-28,5,2023-12-27,002855,BUY,38.6,38.6,400,15440.0,0.0,11.580000,0,0,11.580000,-15451.580000,387777.2699875,372325.68998749997,0,400,93598.00,109038.00,481375.2699875,481363.68998749997,True,0.4000,c0.00075_s0.0
21,2023-12-28,6,2023-12-27,300735,BUY,22.45,23.1901,2100,48699.2100,1554.2100,36.524408,0,0,36.524408,-48735.734408,372325.68998749997,323589.95557949995,0,2100,109038.00,156183.00,481363.68998749997,479772.95557949995,True,0.4000,c0.00075_s0.0
22,2023-12-28,7,2023-12-27,600938,BUY,20.55,22.4879,1200,26985.4800,2325.4800,20.239110,0,0,20.239110,-27005.719110,323589.95557949995,296584.23646949994,1700,2900,156183.00,180843.00,479772.95557949995,477427.23646949994,True,0.4000,c0.00075_s0.0
23,2023-12-29,1,2023-12-28,600938,SELL,20.5,22.4331,2900,65055.9900,5605.9900,48.791993,0,0,48.791993,65007.198007,296584.23646999995,361591.4344769999,2900,0,182875.00,123425.00,479459.23646999995,485016.4344769999,True,0.4000,c0.00075_s0.0
24,2023-12-29,2,2023-12-28,600941,BUY,97.26,108.4756,600,65085.3600,6729.3600,48.814020,0,0,48.814020,-65134.174020,361591.4344769999,296457.26045699994,0,600,123425.00,181781.00,485016.4344769999,478238.26045699994,True,0.4000,c0.00075_s0.0
25,2024-01-03,1,2024-01-02,300750,SELL,156.1,167.0236,300,50107.0800,3277.0800,37.580310,0,0,37.580310,50069.499690,296457.26045749994,346526.76014749997,300,0,177502.00,130672.00,473959.26045749994,477198.76014749997,True,0.4000,c0.00075_s0.0
26,2024-01-03,2,2024-01-02,002241,BUY,20.75,21.4145,2500,53536.2500,1661.2500,40.152188,0,0,40.152188,-53576.402188,346526.76014749997,292950.3579595,0,2500,130672.00,182547.00,477198.76014749997,475497.3579595,True,0.4000,c0.00075_s0.0
27,2024-01-12,1,2024-01-11,002786,SELL,16.3,16.3,700,11410.0,0.0,8.557500,0,0,8.557500,11401.442500,292950.35795999994,304351.80045999994,700,0,171827.00,160417.00,464777.35795999994,464768.80045999994,True,0.4000,c0.00075_s0.0
28,2024-01-12,2,2024-01-11,002855,SELL,33.85,33.85,400,13540.00,0.00,10.155000,0,0,10.155000,13529.845000,304351.80045999994,317881.6454599999,400,0,160417.00,146877.00,464768.80045999994,464758.6454599999,True,0.4000,c0.00075_s0.0
29,2024-01-12,3,2024-01-11,300735,SELL,20.17,20.8349,2100,43753.2900,1396.2900,32.814968,0,0,32.814968,43720.475032,317881.6454599999,361602.1204919999,2100,0,146877.00,104520.00,464758.6454599999,466122.1204919999,True,0.4000,c0.00075_s0.0
30,2024-01-12,4,2024-01-11,002415,BUY,30.73,33.4914,500,16745.7000,1380.7000,12.559275,0,0,12.559275,-16758.259275,361602.1204919999,344843.8612169999,0,500,104520.00,119885.00,466122.1204919999,464728.8612169999,True,0.4000,c0.00075_s0.0
31,2024-01-12,5,2024-01-11,601398,BUY,4.77,5.4497,6300,34333.1100,4282.1100,25.749833,0,0,25.749833,-34358.859833,344843.8612169999,310485.0013839999,0,6300,119885.00,149936.00,464728.8612169999,460421.0013839999,True,0.4000,c0.00075_s0.0
32,2024-01-12,6,2024-01-11,601857,BUY,7.26,8.0641,3100,24998.7100,2492.7100,18.749033,0,0,18.749033,-25017.459033,310485.0013839999,285467.5423509999,0,3100,149936.00,172442.00,460421.0013839999,457909.5423509999,True,0.4000,c0.00075_s0.0
33,2024-01-15,1,2024-01-12,600941,SELL,95.19,106.1669,600,63700.1400,6586.1400,47.775105,0,0,47.775105,63652.364895,285467.5423524999,349119.9072474999,600,0,170430.00,113316.00,455897.5423524999,462435.9072474999,True,0.4000,c0.00075_s0.0
34,2024-01-15,2,2024-01-12,000158,BUY,9.23,9.25,7100,65675.00,142.00,49.256250,0,0,49.256250,-65724.256250,349119.9072474999,283395.65099749994,0,7100,113316.00,178849.00,462435.9072474999,462244.65099749994,True,0.4000,c0.00075_s0.0
35,2024-01-17,1,2024-01-16,002241,SELL,18.89,19.4949,2500,48737.2500,1512.2500,36.552938,0,0,36.552938,48700.697062,283395.65099749994,332096.3480594999,2500,0,180979.00,133754.00,464374.65099749994,465850.3480594999,True,0.4000,c0.00075_s0.0
36,2024-01-17,2,2024-01-16,000338,BUY,14.92,16.3714,2900,47477.0600,4209.0600,35.607795,0,0,35.607795,-47512.667795,332096.3480594999,284583.6802644999,0,2900,133754.00,177022.00,465850.3480594999,461605.6802644999,True,0.4000,c0.00075_s0.0
37,2024-01-26,1,2024-01-25,002415,SELL,32.08,34.9627,500,17481.3500,1441.3500,13.111013,0,0,13.111013,17468.238987,284583.6802649999,302051.91925199993,500,0,181910.00,165870.00,466493.6802649999,467921.91925199993,True,0.4000,c0.00075_s0.0
38,2024-01-26,2,2024-01-25,601398,SELL,5.01,5.7239,6300,36060.5700,4497.5700,27.045428,0,0,27.045428,36033.524572,302051.91925199993,338085.44382399996,6300,0,165870.00,134307.00,467921.91925199993,472392.44382399996,True,0.4000,c0.00075_s0.0
39,2024-01-26,3,2024-01-25,601857,SELL,8.05,8.9416,3100,27718.9600,2763.9600,20.789220,0,0,20.789220,27698.170780,338085.44382399996,365783.61460399994,3100,0,134307.00,109352.00,472392.44382399996,475135.61460399994,True,0.4000,c0.00075_s0.0
40,2024-01-26,4,2024-01-25,300059,BUY,13.25,13.3985,1800,24117.3000,267.3000,18.087975,0,0,18.087975,-24135.387975,365783.61460399994,341648.2266289999,0,1800,109352.00,133202.00,475135.61460399994,474850.2266289999,True,0.4000,c0.00075_s0.0
41,2024-01-26,5,2024-01-25,600030,BUY,20.4,21.8385,1500,32757.7500,2157.7500,24.568313,0,0,24.568313,-32782.318313,341648.2266289999,308865.9083159999,0,1500,133202.00,163802.00,474850.2266289999,472667.9083159999,True,0.4000,c0.00075_s0.0
