order_id,execution_date,execution_sequence,signal_date,symbol,side,order_reason,reference_open_price,fill_price,shares_filled,gross_notional,price_impact_cost,commission,stamp_tax,transfer_fee,total_fee,cash_delta,cash_before,cash_after,shares_before,shares_after,market_value_before,market_value_after,equity_before,equity_after,risk_state,target_exposure,scenario
1,2023-11-30,1,2023-11-29,002142,BUY,TARGET_REBALANCE,23.08,24.7909,4000,99163.6,6843.6,148.7454,0.0,0.0,148.7454,-99312.35,500000.0,400687.65,0,4000,0.0,92320.0,500000.0,493007.65,False,0.6,c0.0015_s0.0
2,2023-11-30,2,2023-11-29,002594,BUY,TARGET_REBALANCE,201.6,619.5316,100,61953.16,41793.16,92.92974,0.0,0.0,92.92974,-62046.09,400687.65,338641.56,0,100,92320.0,112480.0,493007.65,451121.56,False,0.6,c0.0015_s0.0
3,2023-11-30,3,2023-11-29,300351,BUY,TARGET_REBALANCE,23.0,23.2694,800,18615.52,215.52,27.92328,0.0,0.0,27.92328,-18643.44,338641.56,319998.12,0,800,112480.0,130880.0,451121.56,450878.12,False,0.6,c0.0015_s0.0
4,2023-11-30,4,2023-11-29,688041,BUY,TARGET_REBALANCE,71.79,72.0413,400,28816.52,100.52,43.22478,0.0,0.0,43.22478,-28859.74,319998.12,291138.38,0,400,130880.0,159596.0,450878.12,450734.38,False,0.6,c0.0015_s0.0
5,2023-11-30,5,2023-11-29,688271,BUY,TARGET_REBALANCE,138.19,138.8526,500,69426.3,331.3,104.13945,0.0,0.0,104.13945,-69530.44,291138.38,221607.94,0,500,159596.0,228691.0,450734.38,450298.94,False,0.6,c0.0015_s0.0
6,2023-12-14,1,2023-12-13,002142,SELL,HOLD_EXPIRY,20.58,22.1056,4000,88422.4,6102.4,132.6336,0.0,0.0,132.6336,88289.77,221607.94,309897.7,4000,0,219731.0,137411.0,441338.94,447308.7,True,0.6,c0.0015_s0.0
7,2023-12-14,2,2023-12-13,002594,SELL,HOLD_EXPIRY,193.0,593.1031,100,59310.31,40010.31,88.965465,0.0,0.0,88.965465,59221.34,309897.7,369119.05,100,0,137411.0,118111.0,447308.7,487230.05,True,0.6,c0.0015_s0.0
8,2023-12-14,3,2023-12-13,300351,SELL,HOLD_EXPIRY,20.48,20.7199,800,16575.92,191.92,24.86388,0.0,0.0,24.86388,16551.06,369119.05,385670.1,800,0,118111.0,101727.0,487230.05,487397.1,True,0.6,c0.0015_s0.0
9,2023-12-14,4,2023-12-13,688041,SELL,HOLD_EXPIRY,78.13,78.4035,400,31361.4,109.4,47.0421,0.0,0.0,47.0421,31314.36,385670.1,416984.46,400,0,101727.0,70475.0,487397.1,487459.46,True,0.6,c0.0015_s0.0
10,2023-12-14,5,2023-12-13,688271,SELL,HOLD_EXPIRY,140.95,141.6259,500,70812.95,337.95,106.219425,0.0,0.0,106.219425,70706.73,416984.46,487691.19,500,0,70475.0,0.0,487459.46,487691.19,True,0.6,c0.0015_s0.0
11,2023-12-14,6,2023-12-13,000568,BUY,TARGET_REBALANCE,176.0,195.3347,200,39066.94,3866.94,58.60041,0.0,0.0,58.60041,-39125.54,487691.19,448565.65,0,200,0.0,35200.0,487691.19,483765.65,True,0.6,c0.0015_s0.0
12,2023-12-14,7,2023-12-13,002558,BUY,TARGET_REBALANCE,14.45,15.0621,1800,27111.78,1101.78,40.66767,0.0,0.0,40.66767,-27152.45,448565.65,421413.2,0,1800,35200.0,61210.0,483765.65,482623.2,True,0.6,c0.0015_s0.0
13,2023-12-14,8,2023-12-13,600938,BUY,TARGET_REBALANCE,19.45,21.2841,2600,55338.66,4768.66,83.00799,0.0,0.0,83.00799,-55421.67,421413.2,365991.54,0,2600,61210.0,111780.0,482623.2,477771.54,True,0.6,c0.0015_s0.0
14,2023-12-14,9,2023-12-13,601398,BUY,TARGET_REBALANCE,4.79,5.4725,17600,96316.0,12012.0,144.474,0.0,0.0,144.474,-96460.47,365991.54,269531.06,0,17600,111780.0,196084.0,477771.54,465615.06,True,0.6,c0.0015_s0.0
15,2023-12-19,1,2023-12-18,300750,BUY,TARGET_REBALANCE,146.31,156.5485,400,62619.4,4095.4,93.9291,0.0,0.0,93.9291,-62713.33,269531.06,206817.73,0,400,194090.0,252614.0,463621.06,459431.73,True,0.6,c0.0015_s0.0
16,2023-12-28,1,2023-12-27,000568,SELL,HOLD_EXPIRY,171.0,189.7854,200,37957.08,3757.08,56.93562,0.0,0.0,56.93562,37900.14,206817.73,244717.88,200,0,253802.0,219602.0,460619.73,464319.88,True,0.6,c0.0015_s0.0
17,2023-12-28,2,2023-12-27,002558,SELL,HOLD_EXPIRY,10.82,11.2783,1800,20300.94,824.94,30.45141,0.0,0.0,30.45141,20270.49,244717.88,264988.37,1800,0,219602.0,200126.0,464319.88,465114.37,True,0.6,c0.0015_s0.0
18,2023-12-28,3,2023-12-27,601398,SELL,HOLD_EXPIRY,4.83,5.5182,17600,97120.32,12112.32,145.68048,0.0,0.0,145.68048,96974.64,264988.37,361963.01,17600,0,200126.0,115118.0,465114.37,477081.01,True,0.6,c0.0015_s0.0
19,2023-12-28,4,2023-12-27,002786,BUY,TARGET_REBALANCE,17.71,17.71,1100,19481.0,0.0,29.2215,0.0,0.0,29.2215,-19510.22,361963.01,342452.78,0,1100,115118.0,134599.0,477081.01,477051.78,True,0.6,c0.0015_s0.0
20,2023-12-28,5,2023-12-27,002855,BUY,TARGET_REBALANCE,38.6,38.6,600,23160.0,0.0,34.74,0.0,0.0,34.74,-23194.74,342452.78,319258.04,0,600,134599.0,157759.0,477051.78,477017.04,True,0.6,c0.0015_s0.0
21,2023-12-28,6,2023-12-27,300735,BUY,TARGET_REBALANCE,22.45,23.1901,3200,74208.32,2368.32,111.31248,0.0,0.0,111.31248,-74319.63,319258.04,244938.41,0,3200,157759.0,229599.0,477017.04,474537.41,True,0.6,c0.0015_s0.0
22,2023-12-28,7,2023-12-27,600938,BUY,TARGET_REBALANCE,20.55,22.4879,2000,44975.8,3875.8,67.4637,0.0,0.0,67.4637,-45043.26,244938.41,199895.15,2600,4600,229599.0,270699.0,474537.41,470594.15,True,0.6,c0.0015_s0.0
23,2023-12-29,1,2023-12-28,600938,SELL,HOLD_EXPIRY,20.5,22.4331,4600,103192.26,8892.26,154.78839,0.0,0.0,154.78839,103037.47,199895.15,302932.62,4600,0,273172.0,178872.0,473067.15,481804.62,True,0.6,c0.0015_s0.0
24,2023-12-29,2,2023-12-28,600941,BUY,TARGET_REBALANCE,97.26,108.4756,900,97628.04,10094.04,146.44206,0.0,0.0,146.44206,-97774.48,302932.62,205158.14,0,900,178872.0,266406.0,481804.62,471564.14,True,0.6,c0.0015_s0.0
25,2024-01-03,1,2024-01-02,300750,SELL,HOLD_EXPIRY,156.1,167.0236,400,66809.44,4369.44,100.21416,0.0,0.0,100.21416,66709.23,205158.14,271867.36,400,0,260314.0,197874.0,465472.14,469741.36,True,0.6,c0.0015_s0.0
