signal_date,execution_date,risk_state,trigger_count,csi300_ret20,turnover_ratio,base_nav
2023-01-03,2023-01-04,False,0,0.0,1.0,1.0
2023-01-04,2023-01-05,False,0,0.0,1.0,1.0
2023-01-05,2023-01-06,False,0,0.0,1.0,1.0
2023-01-06,2023-01-09,False,0,0.0,1.0,1.0
2023-01-09,2023-01-10,False,0,0.0,1.0,1.0
2023-01-10,2023-01-11,False,0,0.0,1.0,1.0
2023-01-11,2023-01-12,False,0,0.0,1.0,1.0
2023-01-12,2023-01-13,False,0,0.0,1.0,1.0
2023-01-13,2023-01-16,False,0,0.0,1.0,1.0
2023-01-16,2023-01-17,False,0,0.0,1.0,1.0
2023-01-17,2023-01-18,False,0,0.0,1.0,1.0
2023-01-18,2023-01-19,False,0,0.0,1.0,1.0
2023-01-19,2023-01-20,False,0,0.0,1.0,1.0
2023-01-20,2023-01-30,False,0,0.0,1.0,1.0
2023-01-30,2023-01-31,False,0,0.0,1.0,1.0
2023-01-31,2023-02-01,False,0,0.0,1.0,1.0
2023-02-01,2023-02-02,False,0,0.0,1.0,1.0
2023-02-02,2023-02-03,False,0,0.0,1.0,1.0
2023-02-03,2023-02-06,False,0,0.0,1.0,1.0
2023-02-06,2023-02-07,False,0,0.0,1.0,1.0
2023-02-07,2023-02-08,False,0,0.0531,1.0,1.0
2023-02-08,2023-02-09,False,0,0.0471,1.0,1.0
2023-02-09,2023-02-10,False,0,0.0409,1.0,1.0
2023-02-10,2023-02-13,False,0,0.0315,1.0,1.0
2023-02-13,2023-02-14,False,0,0.0325,1.0,1.0
2023-02-14,2023-02-15,False,0,0.0318,1.0,1.0
2023-02-15,2023-02-16,False,0,0.0283,1.0,1.0
2023-02-16,2023-02-17,False,0,0.0188,1.0,1.0
2023-02-17,2023-02-20,False,0,-0.0098,1.0,1.0
2023-02-20,2023-02-21,False,0,-0.0011,1.0,1.0
2023-02-21,2023-02-22,False,0,0.0017,1.0,1.0
2023-02-22,2023-02-23,False,0,-0.0057,1.0,1.0
2023-02-23,2023-02-24,False,0,-0.0126,1.0,1.0
2023-02-24,2023-02-27,False,0,-0.0288,1.0,1.0
2023-02-27,2023-02-28,False,0,-0.0375,1.0,1.0
2023-02-28,2023-03-01,False,0,-0.021,1.0,1.0
2023-03-01,2023-03-02,False,0,-0.0164,1.0,1.0
2023-03-02,2023-03-03,False,0,-0.0152,1.0,1.0
2023-03-03,2023-03-06,False,0,-0.0027,1.0,1.0
2023-03-06,2023-03-07,False,0,0.0054,1.0,1.0
2023-03-07,2023-03-08,False,0,-0.0111,1.0,1.0
2023-03-08,2023-03-09,False,0,-0.0103,1.0,1.0
2023-03-09,2023-03-10,False,0,-0.0269,1.0,1.0
2023-03-10,2023-03-13,False,0,-0.0339,1.0,1.0
2023-03-13,2023-03-14,False,0,-0.0326,1.0,1.0
2023-03-14,2023-03-15,False,0,-0.0387,1.0,1.0
2023-03-15,2023-03-16,False,0,-0.0332,1.0,1.0
2023-03-16,2023-03-17,False,0,-0.0377,1.0,1.0
2023-03-17,2023-03-20,False,0,-0.0188,1.0,1.0
2023-03-20,2023-03-21,False,0,-0.047,1.0,1.0
2023-03-21,2023-03-22,False,0,-0.0391,1.0,1.0
2023-03-22,2023-03-23,False,0,-0.0262,1.0,1.0
2023-03-23,2023-03-24,False,0,-0.0157,1.0,1.0
2023-03-24,2023-03-27,False,0,-0.0084,1.0,1.0
2023-03-27,2023-03-28,False,0,-0.0078,1.0,1.0
2023-03-28,2023-03-29,False,0,-0.0172,1.0,1.0
2023-03-29,2023-03-30,False,0,-0.0293,1.0,1.0
2023-03-30,2023-03-31,False,0,-0.0192,1.0,1.0
2023-03-31,2023-04-03,False,0,-0.0193,1.0,1.0
2023-04-03,2023-04-04,False,0,-0.0045,1.0,1.0
2023-04-04,2023-04-06,False,0,0.0134,1.0,1.0
2023-04-06,2023-04-07,False,0,0.0155,1.0,1.0
2023-04-07,2023-04-10,False,0,0.0257,1.0,1.0
2023-04-10,2023-04-11,False,0,0.0347,1.0,1.0
2023-04-11,2023-04-12,False,0,0.0228,1.0,1.0
2023-04-12,2023-04-13,False,0,0.0283,1.0,1.0
2023-04-13,2023-04-14,False,0,0.0206,1.0,1.0
2023-04-14,2023-04-17,False,0,0.0388,1.0,1.0
2023-04-17,2023-04-18,False,0,0.0481,1.0,1.0
2023-04-18,2023-04-19,False,0,0.0566,1.0,1.0
2023-04-19,2023-04-20,False,0,0.0357,1.0,1.0
2023-04-20,2023-04-21,False,0,0.0284,1.0,1.0
2023-04-21,2023-04-24,False,0,-0.0016,1.0,1.0
2023-04-24,2023-04-25,False,0,-0.011,1.0,1.0
2023-04-25,2023-04-26,False,0,-0.0124,1.0,1.0
2023-04-26,2023-04-27,False,0,-0.0101,1.0,1.0
2023-04-27,2023-04-28,False,0,-0.0044,1.0,1.0
2023-04-28,2023-05-04,False,0,-0.0023,1.0,1.0
2023-05-04,2023-05-05,False,0,-0.0051,1.0,1.0
2023-05-05,2023-05-08,False,0,-0.018,1.0,1.0
2023-05-08,2023-05-09,False,0,-0.0099,1.0,1.0
2023-05-09,2023-05-10,False,0,-0.0168,1.0,1.0
2023-05-10,2023-05-11,False,0,-0.0307,1.0,1.0
2023-05-11,2023-05-12,False,0,-0.0278,1.0,1.0
2023-05-12,2023-05-15,False,0,-0.0396,1.0,1.0
2023-05-15,2023-05-16,False,0,-0.024,1.0,1.0
2023-05-16,2023-05-17,False,0,-0.0223,1.0,1.0
2023-05-17,2023-05-18,False,0,-0.0322,1.0,1.0
2023-05-18,2023-05-19,False,0,-0.0466,1.0,1.0
2023-05-19,2023-05-22,False,0,-0.0523,1.0,1.0
2023-05-22,2023-05-23,False,0,-0.0376,1.0,1.0
2023-05-23,2023-05-24,False,0,-0.0486,1.0,1.0
2023-05-24,2023-05-25,False,0,-0.043,1.0,1.0
2023-05-25,2023-05-26,False,0,-0.0332,1.0,1.0
2023-05-26,2023-05-29,False,0,-0.0282,1.0,1.0
2023-05-29,2023-05-30,False,0,-0.0316,1.0,1.0
2023-05-30,2023-05-31,False,0,-0.0378,1.0,1.0
2023-05-31,2023-06-01,False,0,-0.0572,1.0,1.0
2023-06-01,2023-06-02,False,0,-0.0554,1.0,1.0
2023-06-02,2023-06-05,False,0,-0.0386,1.0,1.0
2023-06-05,2023-06-06,False,0,-0.0538,1.0,1.0
2023-06-06,2023-06-07,False,0,-0.0545,1.0,1.0
2023-06-07,2023-06-08,False,0,-0.0519,1.0,1.0
2023-06-08,2023-06-09,False,0,-0.0427,1.0,1.0
2023-06-09,2023-06-12,False,0,-0.0257,1.0,1.0
2023-06-12,2023-06-13,False,0,-0.0386,1.0,1.0
2023-06-13,2023-06-14,False,0,-0.0285,1.0,1.0
2023-06-14,2023-06-15,False,0,-0.0243,1.0,1.0
2023-06-15,2023-06-16,False,0,-0.0077,1.0,1.0
2023-06-16,2023-06-19,False,0,0.0048,1.0,1.0
2023-06-19,2023-06-20,False,0,-0.0097,1.0,1.0
2023-06-20,2023-06-21,False,0,0.0028,1.0,1.0
2023-06-21,2023-06-26,False,0,0.0013,1.0,1.0
2023-06-26,2023-06-27,False,0,-0.0106,1.0,1.0
2023-06-27,2023-06-28,False,0,-0.0014,1.0,1.0
2023-06-28,2023-06-29,False,0,0.0018,1.0,1.0
2023-06-29,2023-06-30,False,0,-0.0041,1.0,1.0
2023-06-30,2023-07-03,False,0,0.0116,1.0,1.0
2023-07-03,2023-07-04,False,0,0.0226,1.0,1.0
2023-07-04,2023-07-05,False,0,0.0096,1.0,1.0
2023-07-05,2023-07-06,False,0,0.0064,1.0,1.0
2023-07-06,2023-07-07,False,0,0.0091,1.0,1.0
2023-07-07,2023-07-10,False,0,0.0096,1.0,1.0
2023-07-10,2023-07-11,False,0,0.0063,1.0,1.0
2023-07-11,2023-07-12,False,0,0.0085,1.0,1.0
2023-07-12,2023-07-13,False,0,-0.0003,1.0,1.0
2023-07-13,2023-07-14,False,0,0.0087,1.0,1.0
2023-07-14,2023-07-17,False,0,0.0091,1.0,1.0
2023-07-17,2023-07-18,False,0,-0.0149,1.0,1.0
2023-07-18,2023-07-19,False,0,-0.0274,1.0,1.0
2023-07-19,2023-07-20,False,0,-0.0204,1.0,1.0
2023-07-20,2023-07-21,False,0,-0.0256,1.0,1.0
2023-07-21,2023-07-24,False,0,-0.0109,1.0,1.0
2023-07-24,2023-07-25,False,0,-0.0012,1.0,1.0
2023-07-25,2023-07-26,False,0,0.0181,1.0,1.0
2023-07-26,2023-07-27,False,0,0.0172,1.0,1.0
2023-07-27,2023-07-28,False,0,0.0211,1.0,1.0
2023-07-28,2023-07-31,False,0,0.0391,1.0,1.0
2023-07-31,2023-08-01,False,0,0.0313,1.0,1.0
2023-08-01,2023-08-02,False,0,0.0254,1.0,1.0
2023-08-02,2023-08-03,False,0,0.0261,1.0,1.0
2023-08-03,2023-08-04,False,0,0.0422,1.0,1.0
2023-08-04,2023-08-07,False,0,0.0509,1.0,1.0
2023-08-07,2023-08-08,False,0,0.0379,1.0,1.0
2023-08-08,2023-08-09,False,0,0.0285,1.0,1.0
2023-08-09,2023-08-10,False,0,0.0323,1.0,1.0
2023-08-10,2023-08-11,False,0,0.0198,1.0,1.0
2023-08-11,2023-08-14,False,0,-0.0038,1.0,1.0
2023-08-14,2023-08-15,False,0,-0.0029,1.0,1.0
2023-08-15,2023-08-16,False,0,-0.0022,1.0,1.0
2023-08-16,2023-08-17,False,0,-0.0084,1.0,1.0
2023-08-17,2023-08-18,False,0,0.0019,1.0,1.0
2023-08-18,2023-08-21,False,0,-0.0099,1.0,1.0
2023-08-21,2023-08-22,False,0,-0.0199,1.0,1.0
2023-08-22,2023-08-23,False,0,-0.0401,1.0,1.0
