order_id,execution_date,execution_sequence,signal_date,symbol,side,reference_open_price,fill_price,shares_filled,gross_notional,price_impact_cost,commission,stamp_tax,transfer_fee,total_fee,cash_delta,cash_before,cash_after,shares_before,shares_after,market_value_before,market_value_after,equity_before,equity_after,risk_state,target_exposure,scenario
1,2023-11-30,1,2023-11-29,002142,BUY,23.08,24.815690899999996,4000,99262.763599999984000,6942.763599999984000,74.447073,0,0,74.447073,-99337.210672999984000,500000.0,400662.78932700003,0,4000,0,92320.00,500000.0,492982.78932700003,False,0.6000,c0.00075_s0.001
2,2023-11-30,2,2023-11-29,002594,BUY,201.6,620.1511316,100,62015.1131600,41855.1131600,46.511335,0,0,46.511335,-62061.6244950,400662.78932700003,338601.16483200004,0,100,92320.00,112480.00,492982.78932700003,451081.16483200004,False,0.6000,c0.00075_s0.001
3,2023-11-30,3,2023-11-29,300351,BUY,23.0,23.292669399999998,800,18634.135519999998400,234.135519999998400,13.975602,0,0,13.975602,-18648.111121999998400,338601.16483200004,319953.05371000007,0,800,112480.00,130880.00,451081.16483200004,450833.05371000007,False,0.6000,c0.00075_s0.001
4,2023-11-30,4,2023-11-29,688041,BUY,71.79,72.1133413,400,28845.3365200,129.3365200,21.634002,0,0,21.634002,-28866.9705220,319953.05371000007,291086.0831880001,0,400,130880.00,159596.00,450833.05371000007,450682.0831880001,False,0.6000,c0.00075_s0.001
5,2023-11-30,5,2023-11-29,688271,BUY,138.19,138.99145259999997,500,69495.72629999998500,400.72629999998500,52.121795,0,0,52.121795,-69547.84809499998500,291086.0831880001,221538.2350930001,0,500,159596.00,228691.00,450682.0831880001,450229.2350930001,False,0.6000,c0.00075_s0.001
6,2023-12-14,1,2023-12-13,002142,SELL,20.58,22.0834944,4000,88333.9776000,6013.9776000,66.250483,0,0,66.250483,88267.7271170,221538.23509367503,309805.962210675,4000,0,219731.00,137411.00,441269.23509367503,447216.962210675,True,0.4000,c0.00075_s0.001
7,2023-12-14,2,2023-12-13,002594,SELL,193.0,592.5099969,100,59250.9996900,39950.9996900,44.438250,0,0,44.438250,59206.5614400,309805.962210675,369012.523650675,100,0,137411.00,118111.00,447216.962210675,487123.523650675,True,0.4000,c0.00075_s0.001
8,2023-12-14,3,2023-12-13,300351,SELL,20.48,20.6991801,800,16559.3440800,175.3440800,12.419508,0,0,12.419508,16546.9245720,369012.523650675,385559.448222675,800,0,118111.00,101727.00,487123.523650675,487286.448222675,True,0.4000,c0.00075_s0.001
9,2023-12-14,4,2023-12-13,688041,SELL,78.13,78.3250965,400,31330.0386000,78.0386000,23.497529,0,0,23.497529,31306.5410710,385559.448222675,416865.989293675,400,0,101727.00,70475.00,487286.448222675,487340.989293675,True,0.4000,c0.00075_s0.001
10,2023-12-14,5,2023-12-13,688271,SELL,140.95,141.4842741,500,70742.1370500,267.1370500,53.056603,0,0,53.056603,70689.0804470,416865.989293675,487555.069740675,500,0,70475.00,0,487340.989293675,487555.069740675,True,0.4000,c0.00075_s0.001
11,2023-12-14,6,2023-12-13,000568,BUY,176.0,195.5300347,100,19553.0034700,1953.0034700,14.664753,0,0,14.664753,-19567.6682230,487555.069740675,467987.40151767497,0,100,0,17600.0,487555.069740675,485587.40151767497,True,0.4000,c0.00075_s0.001
12,2023-12-14,7,2023-12-13,002558,BUY,14.45,15.077162099999997,1200,18092.594519999996400,752.594519999996400,13.569446,0,0,13.569446,-18106.163965999996400,467987.40151767497,449881.23755167495,0,1200,17600.0,34940.00,485587.40151767497,484821.23755167495,True,0.4000,c0.00075_s0.001
13,2023-12-14,8,2023-12-13,600938,BUY,19.45,21.305384099999998,1700,36219.152969999996600,3154.152969999996600,27.164365,0,0,27.164365,-36246.317334999996600,449881.23755167495,413634.9202166749,0,1700,34940.00,68005.00,484821.23755167495,481639.9202166749,True,0.4000,c0.00075_s0.001
14,2023-12-14,9,2023-12-13,601398,BUY,4.79,5.4779725,11700,64092.2782500,8049.2782500,48.069209,0,0,48.069209,-64140.3474590,413634.9202166749,349494.5727576749,0,11700,68005.00,124048.00,481639.9202166749,473542.5727576749,True,0.4000,c0.00075_s0.001
15,2023-12-19,1,2023-12-18,300750,BUY,146.31,156.70504849999998,300,47011.51454999999400,3118.51454999999400,35.258636,0,0,35.258636,-47046.77318599999400,349494.57275900245,302447.79957300244,0,300,122831.00,166724.00,472325.57275900245,469171.79957300244,True,0.4000,c0.00075_s0.001
16,2023-12-28,1,2023-12-27,000568,SELL,171.0,189.5956146,100,18959.5614600,1859.5614600,14.219671,0,0,14.219671,18945.3417890,302447.7995730899,321393.1413620899,100,0,167796.00,150696.00,470243.7995730899,472089.1413620899,True,0.4000,c0.00075_s0.001
17,2023-12-28,2,2023-12-27,002558,SELL,10.82,11.267021699999999,1200,13520.426039999998800,536.426039999998800,10.140320,0,0,10.140320,13510.285719999998800,321393.1413620899,334903.4270820899,1200,0,150696.00,137712.00,472089.1413620899,472615.4270820899,True,0.4000,c0.00075_s0.001
18,2023-12-28,3,2023-12-27,601398,SELL,4.83,5.5126818,11700,64498.3770600,7987.3770600,48.373783,0,0,48.373783,64450.0032770,334903.4270820899,399353.43035908986,11700,0,137712.00,81201.00,472615.4270820899,480554.43035908986,True,0.4000,c0.00075_s0.001
19,2023-12-28,4,2023-12-27,002786,BUY,17.71,17.72771,700,12409.39700,12.39700,9.307048,0,0,9.307048,-12418.704048,399353.43035908986,386934.7263110899,0,700,81201.00,93598.00,480554.43035908986,480532.7263110899,True,0.4000,c0.00075_s0.001
20,2023-12-28,5,2023-12-27,002855,BUY,38.6,38.6386,400,15455.4400,15.4400,11.591580,0,0,11.591580,-15467.031580,386934.7263110899,371467.69473108987,0,400,93598.00,109038.00,480532.7263110899,480505.69473108987,True,0.4000,c0.00075_s0.001
21,2023-12-28,6,2023-12-27,300735,BUY,22.45,23.2132901,2100,48747.9092100,1602.9092100,36.560932,0,0,36.560932,-48784.4701420,371467.69473108987,322683.22458908986,0,2100,109038.00,156183.00,480505.69473108987,478866.22458908986,True,0.4000,c0.00075_s0.001
22,2023-12-28,7,2023-12-27,600938,BUY,20.55,22.510387899999998,1200,27012.465479999997600,2352.465479999997600,20.259349,0,0,20.259349,-27032.724828999997600,322683.22458908986,295650.49976008985,1700,2900,156183.00,180843.00,478866.22458908986,476493.49976008985,True,0.4000,c0.00075_s0.001
23,2023-12-29,1,2023-12-28,600938,SELL,20.5,22.4106669,2900,64990.9340100,5540.9340100,48.743201,0,0,48.743201,64942.1908090,295650.49976090237,360592.69056990236,2900,0,182875.00,123425.00,478525.49976090237,484017.69056990236,True,0.4000,c0.00075_s0.001
24,2023-12-29,2,2023-12-28,600941,BUY,97.26,108.58407559999999,600,65150.44535999999400,6794.44535999999400,48.862834,0,0,48.862834,-65199.30819399999400,360592.69056990236,295393.3823759024,0,600,123425.00,181781.00,484017.69056990236,477174.3823759024,True,0.4000,c0.00075_s0.001
25,2024-01-03,1,2024-01-02,300750,SELL,156.1,166.8565764,300,50056.9729200,3226.9729200,37.542730,0,0,37.542730,50019.4301900,295393.38237637485,345412.81256637484,300,0,177502.00,130672.00,472895.38237637485,476084.81256637484,True,0.4000,c0.00075_s0.001
26,2024-01-03,2,2024-01-02,002241,BUY,20.75,21.4359145,2500,53589.7862500,1714.7862500,40.192340,0,0,40.192340,-53629.9785900,345412.81256637484,291782.8339763748,0,2500,130672.00,182547.00,476084.81256637484,474329.8339763748,True,0.4000,c0.00075_s0.001
27,2024-01-12,1,2024-01-11,002786,SELL,16.3,16.2837,700,11398.5900,11.4100,8.548943,0,0,8.548943,11390.041057,291782.83397699735,303172.87503399735,700,0,171827.00,160417.00,463609.83397699735,463589.87503399735,True,0.4000,c0.00075_s0.001
28,2024-01-12,2,2024-01-11,002855,SELL,33.85,33.81615,400,13526.46000,13.54000,10.144845,0,0,10.144845,13516.315155,303172.87503399735,316689.19018899737,400,0,160417.00,146877.00,463589.87503399735,463566.19018899737,True,0.4000,c0.00075_s0.001
29,2024-01-12,3,2024-01-11,300735,SELL,20.17,20.8140651,2100,43709.5367100,1352.5367100,32.782153,0,0,32.782153,43676.7545570,316689.19018899737,360365.9447459974,2100,0,146877.00,104520.00,463566.19018899737,464885.9447459974,True,0.4000,c0.00075_s0.001
30,2024-01-12,4,2024-01-11,002415,BUY,30.73,33.524891399999994,500,16762.445699999997000,1397.445699999997000,12.571834,0,0,12.571834,-16775.017533999997000,360365.9447459974,343590.9272119974,0,500,104520.00,119885.00,464885.9447459974,463475.9272119974,True,0.4000,c0.00075_s0.001
31,2024-01-12,5,2024-01-11,601398,BUY,4.77,5.4551497,6200,33821.9281400,4247.9281400,25.366446,0,0,25.366446,-33847.2945860,343590.9272119974,309743.6326259974,0,6200,119885.00,149459.00,463475.9272119974,459202.6326259974,True,0.4000,c0.00075_s0.001
32,2024-01-12,6,2024-01-11,601857,BUY,7.26,8.072164099999998,3100,25023.708709999993800,2517.708709999993800,18.767782,0,0,18.767782,-25042.476491999993800,309743.6326259974,284701.1561339974,0,3100,149459.00,171965.00,459202.6326259974,456666.1561339974,True,0.4000,c0.00075_s0.001
33,2024-01-15,1,2024-01-12,600941,SELL,95.19,106.0607331,600,63636.4398600,6522.4398600,47.727330,0,0,47.727330,63588.7125300,284701.1561350523,348289.86866505235,600,0,169950.00,112836.00,454651.1561350523,461125.86866505235,True,0.4000,c0.00075_s0.001
34,2024-01-15,2,2024-01-12,000158,BUY,9.23,9.25925,7100,65740.67500,207.67500,49.305506,0,0,49.305506,-65789.980506,348289.86866505235,282499.88815905235,0,7100,112836.00,178369.00,461125.86866505235,460868.88815905235,True,0.4000,c0.00075_s0.001
35,2024-01-17,1,2024-01-16,002241,SELL,18.89,19.4754051,2500,48688.5127500,1463.5127500,36.516385,0,0,36.516385,48651.9963650,282499.88815890736,331151.8845239073,2500,0,180491.00,133266.00,462990.88815890736,464417.8845239073,True,0.4000,c0.00075_s0.001
36,2024-01-17,2,2024-01-16,000338,BUY,14.92,16.3877714,2900,47524.5370600,4256.5370600,35.643403,0,0,35.643403,-47560.1804630,331151.8845239073,283591.70406090736,0,2900,133266.00,176534.00,464417.8845239073,460125.70406090736,True,0.4000,c0.00075_s0.001
37,2024-01-26,1,2024-01-25,002415,SELL,32.08,34.9277373,500,17463.8686500,1423.8686500,13.097901,0,0,13.097901,17450.7707490,283591.70406154986,301042.4748105499,500,0,181409.00,165369.00,465000.70406154986,466411.4748105499,True,0.4000,c0.00075_s0.001
38,2024-01-26,2,2024-01-25,601398,SELL,5.01,5.7181761,6200,35452.6918200,4390.6918200,26.589519,0,0,26.589519,35426.1023010,301042.4748105499,336468.57711154985,6200,0,165369.00,134307.00,466411.4748105499,470775.57711154985,True,0.4000,c0.00075_s0.001
39,2024-01-26,3,2024-01-25,601857,SELL,8.05,8.9326584,3100,27691.2410400,2736.2410400,20.768431,0,0,20.768431,27670.4726090,336468.57711154985,364139.04972054984,3100,0,134307.00,109352.00,470775.57711154985,473491.04972054984,True,0.4000,c0.00075_s0.001
40,2024-01-26,4,2024-01-25,300059,BUY,13.25,13.4118985,1800,24141.4173000,291.4173000,18.106063,0,0,18.106063,-24159.5233630,364139.04972054984,339979.5263575498,0,1800,109352.00,133202.00,473491.04972054984,473181.5263575498,True,0.4000,c0.00075_s0.001
41,2024-01-26,5,2024-01-25,600030,BUY,20.4,21.860338499999997,1500,32790.507749999995500,2190.507749999995500,24.592881,0,0,24.592881,-32815.100630999995500,339979.5263575498,307164.4257265498,0,1500,133202.00,163802.00,473181.5263575498,470966.4257265498,True,0.4000,c0.00075_s0.001
42,2024-01-26,6,2024-01-25,601099,BUY,3.45,3.4534499999999997,5700,19684.6649999999982900,19.6649999999982900,14.763499,0,0,14.763499,-19699.4284989999982900,307164.4257265498,287464.99722754984,0,5700,163802.00,183467.00,470966.4257265498,470931.99722754984,True,0.4000,c0.00075_s0.001
43,2024-01-29,1,2024-01-26,000158,SELL,9.09,9.1005903,7100,64614.1911300,75.1911300,48.460643,0,0,48.460643,64565.7304870,287464.9972278799,352030.7277148799,7100,0,182693.00,118154.00,470157.9972278799,470184.7277148799,True,0.4000,c0.00075_s0.001
